Action,Object Type,Object Name,Event Display Name,Object Owner,Object Description,Event Category,Tags,Event Schema Status,Event Activity,Event Hidden From Dropdowns,Event Hidden From Persona Results,Event Hidden From Pathfinder,Event Hidden From Timeline,Event Source,Event 180 Day Volume,Event 180 Day Queries,Event First Seen,Event Last Seen,Property Type,Property Group Names,Event Property Name,Property Description,Property Value Type,Property Schema Status,Property Required,Property Visibility,Property Is Array,String Property Value Min Length,String Property Value Max Length,Number Is Integer,Number Property Value Min,Number Property Value Max,Array Unique Items,Array Min Items,Array Max Items,Enum Values,Const Value,Property Regex,Property First Seen,Property Last Seen
,Property Group,country_Page,,giovanni@kavak.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Property Group,pp,,eduardo.torres@kavak.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,vip_location,,any,,FALSE,,FALSE,,,,,,,,,,,,,
,Property Group,source / medium,,marcos.hardoy@kavak.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,utm_source,,any,,FALSE,,FALSE,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,utm_medium,,any,,FALSE,,FALSE,,,,,,,,,,,,,
IGNORE,Event,__cpLocation_selected,,bruno.bianchi@kavak.com,,,,DELETED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
IGNORE,Event,__cpLocation_viewed,,bruno.bianchi@kavak.com,,,,DELETED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Event,[Amplitude] Attribution Captured,,bruno.bianchi@kavak.com,,Main,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,56734198,267,2022-02-02,2025-09-16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,fbclid,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
,,,,,,,,,,,,,,,,,,,Event Property,,gclid,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
,,,,,,,,,,,,,,,,,,,Event Property,,referrer,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
,,,,,,,,,,,,,,,,,,,Event Property,,referring_domain,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
,,,,,,,,,,,,,,,,,,,Event Property,,utm_campaign,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
,,,,,,,,,,,,,,,,,,,Event Property,,utm_content,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
,,,,,,,,,,,,,,,,,,,Event Property,,utm_medium,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
,,,,,,,,,,,,,,,,,,,Event Property,,utm_source,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
,,,,,,,,,,,,,,,,,,,Event Property,,utm_term,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-02,2025-09-16
IGNORE,Event,[Amplitude] Form Started,[Amplitude] Form Started,,,,,DELETED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Event,[AppsFlyer] Install,,bruno.bianchi@kavak.com,,Appsflyer,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,187806,8,2021-12-10,2025-09-16,,,,,,,,,,,,,,,,,,,,,,
IGNORE,Event,[Guides-Surveys] Survey Completed,,,,,,UNEXPECTED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,2214,0,2025-08-13,2025-09-12,,,,,,,,,,,,,,,,,,,,,,
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] App Type,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is From Debug Mode,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is From Test Mode,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-09-11,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is Last Step,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Key,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Lifecycle UUID,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.domain,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.path,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.title,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step ID,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step Index,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step Title,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Tags,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Title,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Type,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Variant ID,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Version,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,Event,[Guides-Surveys] Survey Dismissed,,,,,,UNEXPECTED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,9067,0,2025-08-13,2025-09-13,,,,,,,,,,,,,,,,,,,,,,
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] App Type,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is From Debug Mode,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is From Test Mode,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-09-11,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is Last Step,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Key,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Lifecycle UUID,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.domain,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.path,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.title,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step ID,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step Index,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step Title,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Tags,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Title,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Type,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Variant ID,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Version,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,Event,[Guides-Surveys] Survey Engaged,,,,,,UNEXPECTED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,2226,0,2025-08-13,2025-09-12,,,,,,,,,,,,,,,,,,,,,,
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] App Type,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Engagement.type,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-12
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is From Debug Mode,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is From Test Mode,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-09-11,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Is Last Step,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Key,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Lifecycle UUID,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.domain,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.path,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Page.title,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step ID,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step Index,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Guides-Surveys] Step Title,,any,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2025-08-13,2025-09-15
